S,neural,exact
95.5,7.6794176,7.782108557814951
95.75,7.816838,7.919673552288685
96.0,7.955656,8.058529122942097
96.25,8.095864,8.198669572316923
96.5,8.237457,8.340089026248549
96.75,8.380425,8.48278143812422
97.0,8.524765,8.626740593164243
97.25,8.670463,8.77196011272327
97.5,8.817514,8.918433458607645
97.75,8.965911,9.066153937405659
98.0,9.115643,9.215114704827258
98.25,9.266703,9.365308770049886
98.5,9.419081,9.516729000067293
98.75,9.572765,9.66936812403818
99.0,9.727749,9.8232187376316
99.25,9.884022,9.978273307366024
99.5,10.041573,10.134524174939394
99.75,10.200394,10.291963561547142
100.0,10.360471,10.450583572185565
100.25,10.521798,10.610376199937775
100.5,10.6843605,10.771333330239663
100.75,10.848148,10.933446745123682
101.0,11.013149,11.096708127437402
101.25,11.179357,11.261109065035242
101.5,11.346754,11.426641054940518
101.75,11.515333,11.5932955074761
102.0,11.685079,11.761063750361359
102.25,11.855982,11.929937032773346
102.5,12.02803,12.099906529370571
102.75,12.201209,12.270963344277227
103.0,12.375509,12.443098515026335
103.25,12.55092,12.616302978500119
103.5,12.727425,12.790567611857226
103.75,12.905017,12.9658832374596
104.0,13.083681,13.142240626758454
104.25,13.263409,13.319630504188986
104.5,13.44419,13.498043551053306
104.75,13.626009,13.677470410390302
105.0,13.808857,13.857901690818174
105.25,13.99272,14.039327970356322
105.5,14.177589,14.221739801246695
105.75,14.363453,14.405127713762094
106.0,14.550297,14.589482220991395
106.25,14.738111,14.774793824602393
106.5,14.926882,14.961053018541933
106.75,15.116598,15.148250292688634
107.0,15.30725,15.336376135505477
107.25,15.498825,15.52542103764191
107.5,15.691313,15.715375494522414
107.75,15.8847,15.906229010952639
108.0,16.078978,16.097972103717793
108.25,16.274134,16.2905953041734
108.5,16.47016,16.484089160838185
108.75,16.667042,16.67844424197857
109.0,16.864773,16.873651137175947
109.25,17.063341,17.06970045888043
109.5,17.262733,17.26658284494975
109.75,17.46294,17.46428896017898
110.0,17.663952,17.662809497803155
110.25,17.865759,17.862135180973336
110.5,18.068354,18.06225676420217
110.75,18.271727,18.263165033805058
111.0,18.47587,18.464850808326358
111.25,18.680777,18.667304939943865
111.5,18.886438,18.870518314860977
111.75,19.092846,19.074481854688193
112.0,19.300001,19.279186517845252
112.25,19.50789,19.484623301032567
112.5,19.716507,19.690783240725666
112.75,19.925844,19.897657414697765
113.0,20.1359,20.105236943551473
113.25,20.34666,20.31351399226115
113.5,20.558126,20.522480771692684
113.75,20.770287,20.732129539111
114.0,20.983139,20.942452598656424
114.25,21.19667,21.153442301788455
114.5,21.410883,21.36509104769964
114.75,21.62577,21.577391283707516
115.0,21.841326,21.790335505646476
115.25,22.057545,22.00391625824498
115.5,22.274424,22.218126135486047
115.75,22.491955,22.43295778094287
116.0,22.710135,22.64840388812306
116.25,22.928957,22.864457200810294
116.5,23.148417,23.081110513401947
116.75,23.368511,23.29835667124641
117.0,23.589235,23.51618857097449
117.25,23.810581,23.734599160826975
117.5,24.032549,23.95358144094151
117.75,24.255127,24.17312846359357
118.0,24.478315,24.393233333379043
118.25,24.702105,24.613889207335533
118.5,24.926497,24.83508929502061
118.75,25.151484,25.056826858574063
119.0,25.377062,25.279095212783646
119.25,25.603228,25.50188772524194
119.5,25.829977,25.72519781626187
119.75,26.057308,25.9490189580709
120.0,26.285213,26.173344674888807
120.25,26.513691,26.398168542927354
120.5,26.74273,26.62348419042663
120.75,26.972334,26.849285297692066
121.0,27.202496,27.07556559712865
121.25,27.433214,27.302318873264953
121.5,27.664486,27.529538962769193
121.75,27.8963,27.757219754462865
122.0,28.128658,27.985355189333168
122.25,28.36155,28.213939260542477
122.5,28.594973,28.442966013436952
122.75,28.828924,28.672429545551182
123.0,29.0634,28.902324006606175
123.25,29.298395,29.132643598495
123.5,29.53391,29.36338257526531
123.75,29.769936,29.59453524310154
124.0,30.00647,29.826096960291604
124.25,30.24351,30.058063137190864
124.5,30.481052,30.290429236185536
124.75,30.71909,30.523190771652387
125.0,30.957623,30.756343310903032
125.25,31.196648,30.98988247314306
125.5,31.43616,31.22380392942937
125.75,31.676157,31.458103402626465
126.0,31.916634,31.6927766673612
126.25,32.157593,31.92781954997937
126.5,32.39902,32.16322792850674
126.75,32.64092,32.398997732607584
127.0,32.88329,32.63512594354083
127.25,33.126118,32.87160959410764
127.5,33.369408,33.10844576860173
127.75,33.61316,33.34563160275872
128.0,33.857365,33.58316428370105
128.25,34.10202,33.82104104988496
128.5,34.347126,34.0592591910413
128.75,34.59268,34.29781604710784
129.0,34.83867,34.5367080071621
129.25,35.085106,34.7759325083383
129.5,35.331978,35.01548703574302
129.75,35.579285,35.2553691213637
130.0,35.82703,35.49557634396843
130.25,36.075207,35.73610632802136
130.5,36.323814,35.9769567436007
130.75,36.57285,36.21812530531072
131.0,36.822315,36.45960977119219
131.25,37.0722,36.7014079416274
131.5,37.32251,36.94351765825268
131.75,37.57324,37.18593680388566
132.0,37.824387,37.42866330244966
132.25,38.07595,37.6716951188888
132.5,38.32793,37.91503025808215
132.75,38.580315,38.158666765033395
133.0,38.83311,38.40260272407126
133.25,39.086308,38.6468362580156
133.5,39.339916,38.8913655273947
133.75,39.59392,39.13618872967435
134.0,39.84833,39.38130409850534
134.25,40.10313,39.6267099039752
134.5,40.358326,39.87240445285184
134.75,40.613914,40.11838608883394
135.0,40.86989,40.364653192800205
135.25,41.126255,40.61120418206449
135.5,41.383,40.8580375096337
135.75,41.640125,41.10515166346523
136.0,41.897625,41.35254516671657
136.25,42.1555,41.60021657799292
136.5,42.413746,41.84816449159566
136.75,42.67236,42.09638753776543
137.0,42.931347,42.344884382926175
137.25,43.190697,42.59365372992767
137.5,43.450413,42.84269431829729
137.75,43.7105,43.09200492449402
138.0,43.970943,43.34158436116309
138.25,44.23176,43.59143147740447
138.5,44.49293,43.841545158044806
138.75,44.75446,44.09192432391788
139.0,45.01635,44.34256893115295
139.25,45.2786,44.59347897046499
139.5,45.541203,44.84465446643098
139.75,45.80416,45.096095476760985
140.0,46.06747,45.34780209156904
140.25,46.331127,45.59977443263854
140.5,46.595135,45.85201265269977
140.75,46.85949,46.10451693469978
141.0,47.124187,46.35728749107706
141.25,47.389225,46.610324563039814
141.5,47.654602,46.86362842084292
141.75,47.920315,47.11719936306581
142.0,48.186363,47.37103771688658
142.25,48.45274,47.62514383734673
142.5,48.719456,47.87951810761263
142.75,48.986492,48.13416093823918
143.0,49.253864,48.38907276642729
143.25,49.52156,48.64425405528494
143.5,49.78958,48.899705293085054
143.75,50.05793,49.15542799252292
144.0,50.326603,49.41142268997051
144.25,50.5956,49.6676899447286
144.5,50.86491,49.9242303382715
144.75,51.134552,50.18104447348859
145.0,51.40451,50.43813397490646
145.25,51.674778,50.695499488913185
145.5,51.94537,50.95314168397349
145.75,52.216274,51.21106125084375
146.0,52.487484,51.46925890277617
146.25,52.759014,51.727735375720086
146.5,53.030846,51.98649142852356
146.75,53.30299,52.24552784213349
147.0,53.575436,52.50484541979416
147.25,53.848183,52.76444498623471
147.5,54.121227,53.02432738886729
147.75,54.394577,53.284493496983164
148.0,54.668224,53.54494420194966
148.25,54.942173,53.80568041740195
148.5,55.216415,54.06670307944662
148.75,55.490955,54.32801314686646
149.0,55.76579,54.58961160132728
149.25,56.04092,54.85149944757873
149.5,56.31634,55.11367771365752
149.75,56.592056,55.37614745109538
150.0,56.868053,55.63890973512642
